Week,Category,Skrey's SQUAD,Shmoulie,My Team Snells Like Shit,The Bronx Boofers,The Murk Ma$ter,UNKle Jerik,vves11,wes11,Acuña Matata,Beasts of the East,Colson Anthony Teel Jr.,Cleveland Steamers,Derty's Rolling Crew,Put Up or Shut Up,North Shore Beefs,Tardy Plumbers
1,OBP,0.32,0.344,0.32,0.299,0.322,0.329,0.315,0.339,0.336,0.323,0.306,0.319,0.317,0.331,0.328,0.298
1,R,53.0,45.0,56.0,51.0,43.0,53.0,50.0,51.0,56.0,55.0,36.0,48.0,44.0,61.0,47.0,43.0
1,HR,17.0,16.0,22.0,8.0,12.0,22.0,13.0,14.0,12.0,16.0,9.0,14.0,17.0,11.0,16.0,6.0
1,RBI,41.0,50.0,63.0,34.0,51.0,56.0,50.0,38.0,36.0,55.0,36.0,47.0,60.0,37.0,50.0,35.0
1,SB,3.0,10.0,11.0,9.0,8.0,15.0,13.0,7.0,10.0,13.0,11.0,12.0,3.0,10.0,9.0,4.0
1,K_B,89.0,88.0,71.0,103.0,75.0,87.0,95.0,81.0,85.0,97.0,64.0,87.0,74.0,86.0,89.0,87.0
1,TB,159.0,145.0,171.0,135.0,132.0,172.0,146.0,141.0,139.0,161.0,121.0,128.0,145.0,146.0,149.0,106.0
1,ERA,4.18,3.33,3.58,3.74,2.99,4.23,4.19,4.93,1.38,3.15,4.67,3.84,3.12,3.51,2.91,2.32
1,WHIP,1.32,0.99,1.41,1.19,1.2,1.06,1.23,1.38,0.85,1.4,1.33,1.05,1.17,1.18,1.28,0.93
1,L,4.0,3.0,8.0,5.0,2.0,6.0,2.0,9.0,2.0,3.0,8.0,4.0,4.0,7.0,2.0,1.0
1,SV,3.0,7.0,5.0,3.0,7.0,4.0,2.0,4.0,1.0,0.0,4.0,8.0,4.0,2.0,6.0,1.0
1,K_P,93.0,68.0,77.0,62.0,73.0,79.0,65.0,97.0,55.0,85.0,99.0,96.0,95.0,97.0,61.0,66.0
1,HLD,3.0,6.0,5.0,5.0,4.0,3.0,6.0,2.0,7.0,4.0,4.0,2.0,4.0,0.0,4.0,9.0
1,IP,103.1,73.0,78.0,67.1,81.1,76.2,66.2,107.2,58.2,71.1,79.0,75.0,98.0,92.1,68.0,50.1
1,H/AB,94/355,77/306,89/352,83/349,78/307,91/342,87/352,81/329,86/349,93/399,75/315,74/337,79/327,91/355,84/343,73/340
1,QS,4.0,1.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,6.0,3.0,3.0
2,OBP,0.3,0.344,0.353,0.366,0.234,0.319,0.285,0.291,0.316,0.344,0.35,0.307,0.307,0.291,0.342,0.335
2,R,20.0,20.0,30.0,27.0,7.0,30.0,30.0,24.0,30.0,39.0,31.0,25.0,26.0,27.0,28.0,24.0
2,HR,6.0,5.0,9.0,12.0,1.0,7.0,10.0,7.0,11.0,8.0,7.0,9.0,11.0,2.0,7.0,5.0
2,RBI,21.0,16.0,31.0,38.0,14.0,23.0,35.0,22.0,31.0,31.0,29.0,25.0,26.0,21.0,24.0,21.0
2,SB,7.0,3.0,1.0,8.0,1.0,8.0,8.0,2.0,6.0,12.0,9.0,7.0,6.0,8.0,3.0,6.0
2,K_B,53.0,45.0,34.0,54.0,39.0,52.0,56.0,54.0,49.0,59.0,39.0,53.0,54.0,57.0,42.0,35.0
2,TB,67.0,69.0,104.0,99.0,33.0,74.0,90.0,65.0,103.0,97.0,101.0,89.0,88.0,66.0,76.0,65.0
2,ERA,3.65,0.92,3.81,1.09,4.74,3.92,3.4,2.86,2.77,2.15,3.29,4.29,2.67,4.55,3.77,4.28
2,WHIP,1.26,0.79,1.11,0.79,1.34,1.24,1.24,1.39,1.36,1.11,1.25,1.31,0.89,1.35,1.06,1.39
2,L,2.0,2.0,5.0,1.0,4.0,3.0,2.0,3.0,5.0,1.0,3.0,8.0,3.0,5.0,2.0,8.0
2,SV,2.0,2.0,4.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,1.0
2,K_P,41.0,45.0,57.0,43.0,45.0,63.0,35.0,44.0,43.0,54.0,56.0,81.0,63.0,68.0,45.0,49.0
2,HLD,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,4.0,2.0,0.0,2.0,1.0,4.0,5.0
2,IP,44.1,39.1,56.2,49.2,49.1,57.1,39.2,44.0,48.2,46.0,65.2,79.2,57.1,59.1,45.1,61.0
2,H/AB,42/213,45/184,63/213,51/192,27/158,42/197,49/228,37/210,55/208,58/225,63/212,47/194,44/210,48/219,44/175,44/170
2,QS,3.0,3.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0
3,OBP,0.359,0.396,0.35,0.252,0.369,0.282,0.332,0.338,0.313,0.347,0.3,0.31,0.27,0.346,0.275,0.373
3,R,27.0,43.0,31.0,25.0,34.0,26.0,34.0,29.0,28.0,39.0,35.0,28.0,17.0,36.0,29.0,25.0
3,HR,8.0,16.0,16.0,8.0,12.0,9.0,10.0,8.0,5.0,14.0,9.0,7.0,6.0,11.0,9.0,6.0
3,RBI,32.0,41.0,31.0,31.0,43.0,23.0,31.0,32.0,23.0,43.0,24.0,29.0,28.0,34.0,27.0,24.0
3,SB,5.0,7.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,11.0,7.0,6.0,7.0,8.0,3.0,5.0
3,K_B,49.0,58.0,48.0,64.0,36.0,55.0,51.0,52.0,67.0,44.0,38.0,52.0,63.0,45.0,56.0,43.0
3,TB,109.0,115.0,124.0,78.0,108.0,89.0,93.0,102.0,78.0,110.0,93.0,78.0,77.0,101.0,86.0,86.0
3,ERA,3.96,2.31,3.02,3.71,3.88,1.77,2.32,1.9,6.17,4.52,6.0,4.3,4.21,4.25,2.77,3.78
3,WHIP,1.16,1.05,1.13,1.08,1.14,1.05,1.07,1.17,1.71,1.39,1.61,1.13,1.4,1.35,1.08,1.22
3,L,5.0,1.0,2.0,2.0,5.0,2.0,1.0,4.0,8.0,3.0,4.0,4.0,5.0,5.0,2.0,2.0
3,SV,3.0,7.0,4.0,1.0,5.0,4.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,0.0
3,K_P,85.0,42.0,56.0,47.0,57.0,45.0,50.0,38.0,65.0,68.0,41.0,39.0,58.0,63.0,56.0,80.0
3,HLD,2.0,4.0,2.0,2.0,5.0,5.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0
3,IP,72.2,39.0,65.2,43.2,60.1,45.2,50.1,42.2,65.2,61.2,33.0,46.0,51.1,59.1,55.1,69.0
3,H/AB,67/225,57/213,61/219,46/236,60/187,53/229,50/211,65/248,53/211,56/225,55/221,46/204,44/231,59/210,49/212,56/198
3,QS,6.0,3.0,6.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,0.0,2.0,2.0,3.0,2.0,5.0
4,OBP,0.356,0.343,0.323,0.376,0.378,0.36,0.302,0.297,0.387,0.362,0.32,0.316,0.247,0.325,0.333,0.291
4,R,33.0,26.0,31.0,33.0,19.0,25.0,33.0,27.0,34.0,33.0,24.0,28.0,28.0,32.0,17.0,23.0
4,HR,8.0,10.0,8.0,6.0,7.0,7.0,11.0,9.0,4.0,7.0,5.0,9.0,4.0,3.0,3.0,7.0
4,RBI,27.0,29.0,30.0,32.0,22.0,23.0,34.0,29.0,26.0,35.0,22.0,32.0,12.0,32.0,25.0,18.0
4,SB,6.0,5.0,0.0,6.0,10.0,3.0,2.0,3.0,11.0,9.0,4.0,6.0,4.0,4.0,9.0,6.0
4,K_B,44.0,67.0,43.0,38.0,40.0,51.0,65.0,69.0,55.0,44.0,62.0,48.0,48.0,63.0,39.0,61.0
4,TB,90.0,95.0,87.0,98.0,95.0,82.0,91.0,92.0,96.0,114.0,85.0,83.0,60.0,88.0,76.0,82.0
4,ERA,2.76,4.89,2.91,2.21,3.56,3.6,3.25,3.51,2.79,3.75,4.18,3.51,4.34,4.86,3.12,5.1
4,WHIP,1.23,1.57,1.34,1.04,1.19,1.25,1.14,1.07,1.08,1.15,1.29,1.1,1.58,1.48,1.22,1.52
4,L,2.0,5.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,6.0,1.0,4.0,3.0,3.0
4,SV,3.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0
4,K_P,52.0,51.0,38.0,66.0,40.0,52.0,53.0,69.0,41.0,45.0,54.0,47.0,34.0,36.0,47.0,61.0
4,HLD,4.0,3.0,0.0,2.0,2.0,3.0,1.0,4.0,2.0,6.0,3.0,4.0,1.0,2.0,0.0,5.0
4,IP,75.0,49.2,46.1,53.0,48.0,60.0,52.2,51.1,51.2,50.1,47.1,41.0,37.1,50.0,43.1,67.0
4,H/AB,54/183,54/235,53/207,62/204,61/198,51/193,47/225,55/233,60/204,70/240,55/217,46/201,37/213,64/247,54/201,50/221
4,QS,7.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0
5,OBP,0.317,0.38,0.4,0.34,0.324,0.306,0.297,0.363,0.291,0.346,0.305,0.322,0.301,0.358,0.33,0.379
5,R,34.0,38.0,43.0,29.0,29.0,28.0,19.0,42.0,30.0,30.0,32.0,31.0,23.0,34.0,30.0,36.0
5,HR,11.0,11.0,12.0,7.0,7.0,7.0,4.0,15.0,9.0,5.0,12.0,12.0,11.0,12.0,7.0,12.0
5,RBI,23.0,29.0,57.0,24.0,21.0,34.0,20.0,34.0,17.0,24.0,39.0,39.0,28.0,37.0,28.0,41.0
5,SB,7.0,8.0,5.0,8.0,8.0,1.0,1.0,3.0,4.0,11.0,10.0,5.0,4.0,2.0,3.0,9.0
5,K_B,47.0,57.0,39.0,49.0,47.0,52.0,38.0,52.0,59.0,55.0,47.0,55.0,37.0,40.0,49.0,47.0
5,TB,110.0,117.0,123.0,89.0,86.0,79.0,70.0,129.0,77.0,94.0,97.0,93.0,89.0,101.0,88.0,117.0
5,ERA,4.37,3.97,1.99,2.89,3.78,5.63,5.89,4.89,2.65,4.92,5.11,5.66,5.84,2.36,4.46,3.31
5,WHIP,1.41,1.2,0.84,1.09,1.28,1.6,1.42,1.39,1.14,1.48,1.36,1.56,1.62,0.94,1.71,1.05
5,L,6.0,5.0,1.0,2.0,3.0,6.0,3.0,5.0,1.0,4.0,7.0,4.0,2.0,2.0,3.0,2.0
5,SV,2.0,1.0,4.0,3.0,4.0,3.0,0.0,0.0,2.0,5.0,3.0,1.0,3.0,3.0,1.0,0.0
5,K_P,59.0,51.0,35.0,45.0,45.0,54.0,30.0,39.0,47.0,64.0,49.0,57.0,39.0,43.0,46.0,54.0
5,HLD,4.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,6.0,4.0,1.0,1.0,2.0,3.0,3.0,5.0
5,IP,68.0,56.2,40.2,46.2,50.0,62.1,36.2,42.1,54.1,64.0,44.0,49.1,37.0,45.2,40.1,51.2
5,H/AB,67/257,67/237,70/215,57/219,52/203,49/209,49/196,66/231,42/200,67/236,51/227,49/212,47/206,54/190,57/211,69/221
5,QS,4.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0
6,OBP,0.367,0.324,0.299,0.27,0.328,0.323,0.36,0.341,0.382,0.315,0.316,0.339,0.313,0.338,0.266,0.408
6,R,40.0,30.0,32.0,24.0,35.0,29.0,29.0,33.0,47.0,39.0,27.0,31.0,24.0,34.0,24.0,30.0
6,HR,8.0,7.0,6.0,7.0,10.0,5.0,8.0,8.0,14.0,7.0,6.0,9.0,5.0,6.0,8.0,6.0
6,RBI,35.0,23.0,25.0,41.0,36.0,31.0,28.0,25.0,40.0,39.0,26.0,35.0,29.0,34.0,27.0,23.0
6,SB,6.0,7.0,5.0,5.0,5.0,7.0,9.0,3.0,6.0,5.0,9.0,5.0,3.0,5.0,4.0,2.0
6,K_B,46.0,69.0,53.0,53.0,54.0,42.0,50.0,53.0,61.0,62.0,51.0,53.0,54.0,59.0,52.0,46.0
6,TB,105.0,79.0,76.0,87.0,100.0,79.0,101.0,92.0,129.0,103.0,85.0,96.0,81.0,98.0,80.0,83.0
6,ERA,3.06,5.06,3.32,4.19,2.17,3.55,3.72,5.3,2.88,3.86,1.69,4.1,3.74,5.81,5.06,1.85
6,WHIP,1.15,1.41,1.11,1.4,1.07,1.2,1.22,1.49,1.11,1.44,1.25,1.2,1.14,1.4,1.43,0.86
6,L,2.0,6.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,4.0,7.0,0.0
6,SV,4.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0
6,K_P,59.0,55.0,71.0,49.0,59.0,44.0,53.0,56.0,35.0,51.0,74.0,46.0,46.0,66.0,51.0,50.0
6,HLD,5.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0
6,IP,53.0,69.1,57.0,43.0,49.2,50.2,55.2,54.1,40.2,44.1,64.0,41.2,45.2,83.2,58.2,48.2
6,H/AB,62/219,47/214,49/216,53/241,57/219,52/207,65/224,59/217,68/230,66/253,54/223,59/211,56/218,62/234,48/216,56/201
6,QS,3.0,3.0,6.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,6.0,2.0,3.0,5.0,4.0,5.0
7,OBP,0.33,0.358,0.315,0.292,0.413,0.283,0.332,0.367,0.339,0.313,0.313,0.335,0.355,0.307,0.27,0.325
7,R,34.0,32.0,27.0,24.0,32.0,21.0,28.0,37.0,33.0,35.0,23.0,30.0,28.0,28.0,28.0,32.0
7,HR,13.0,15.0,7.0,11.0,11.0,7.0,9.0,8.0,12.0,13.0,6.0,12.0,9.0,7.0,10.0,9.0
7,RBI,34.0,38.0,27.0,32.0,33.0,18.0,28.0,21.0,34.0,35.0,31.0,42.0,28.0,31.0,25.0,25.0
7,SB,6.0,0.0,6.0,5.0,4.0,3.0,8.0,5.0,7.0,8.0,6.0,6.0,3.0,5.0,4.0,5.0
7,K_B,48.0,61.0,47.0,54.0,50.0,50.0,45.0,51.0,46.0,49.0,51.0,48.0,50.0,53.0,49.0,58.0
7,TB,110.0,124.0,90.0,93.0,110.0,80.0,100.0,98.0,95.0,114.0,92.0,91.0,98.0,88.0,94.0,93.0
7,ERA,4.6,6.01,3.26,4.37,5.23,2.86,5.13,1.03,3.12,2.54,5.33,3.65,2.52,3.39,3.03,3.5
7,WHIP,1.23,1.34,1.15,1.14,1.38,1.05,1.6,0.78,1.2,1.14,1.51,1.57,1.1,0.96,0.92,1.28
7,L,5.0,8.0,1.0,3.0,4.0,2.0,6.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0
7,SV,5.0,1.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0
7,K_P,76.0,75.0,57.0,52.0,46.0,49.0,51.0,49.0,50.0,62.0,48.0,42.0,50.0,71.0,40.0,39.0
7,HLD,1.0,1.0,2.0,5.0,1.0,2.0,2.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0
7,IP,86.0,79.1,60.2,47.1,41.1,50.1,54.1,52.1,60.2,67.1,52.1,37.0,50.0,71.2,32.2,36.0
7,H/AB,66/242,65/219,56/218,53/219,62/199,47/206,59/216,60/203,50/206,60/239,55/220,47/190,59/215,54/227,47/212,53/222
7,QS,5.0,6.0,4.0,1.0,3.0,3.0,3.0,5.0,4.0,6.0,3.0,1.0,5.0,6.0,1.0,5.0
8,OBP,0.36,0.355,0.305,0.308,0.348,0.336,0.342,0.307,0.285,0.329,0.3,0.314,0.331,0.289,0.438,0.295
8,R,37.0,37.0,21.0,26.0,34.0,25.0,32.0,25.0,35.0,25.0,20.0,30.0,33.0,34.0,38.0,34.0
8,HR,9.0,9.0,7.0,8.0,11.0,5.0,6.0,8.0,11.0,5.0,3.0,6.0,8.0,6.0,12.0,10.0
8,RBI,28.0,30.0,20.0,36.0,32.0,22.0,38.0,35.0,25.0,27.0,17.0,25.0,40.0,31.0,39.0,30.0
8,SB,1.0,8.0,8.0,1.0,4.0,2.0,7.0,4.0,9.0,3.0,6.0,5.0,4.0,6.0,8.0,5.0
8,K_B,46.0,67.0,52.0,46.0,48.0,55.0,35.0,51.0,58.0,56.0,49.0,57.0,52.0,63.0,52.0,45.0
8,TB,115.0,99.0,85.0,85.0,109.0,79.0,100.0,96.0,98.0,93.0,76.0,78.0,114.0,95.0,125.0,97.0
8,ERA,4.58,4.35,4.57,3.25,3.47,2.53,2.87,4.25,1.8,3.69,4.52,3.19,1.74,2.1,3.18,2.97
8,WHIP,1.4,1.51,1.22,1.04,1.2,1.23,1.12,1.36,0.96,1.28,1.39,1.04,1.28,1.12,1.12,1.16
8,L,3.0,2.0,3.0,2.0,7.0,2.0,0.0,6.0,2.0,1.0,5.0,4.0,3.0,4.0,3.0,0.0
8,SV,1.0,3.0,3.0,4.0,4.0,3.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,6.0,3.0,0.0
8,K_P,58.0,52.0,61.0,57.0,53.0,41.0,26.0,46.0,48.0,74.0,52.0,39.0,33.0,53.0,33.0,65.0
8,HLD,2.0,3.0,5.0,0.0,3.0,2.0,0.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0
8,IP,57.0,51.2,63.0,52.2,70.0,46.1,31.1,53.0,45.0,63.1,65.2,42.1,41.1,60.0,34.0,57.2
8,H/AB,74/242,58/220,49/210,47/201,65/224,53/214,64/223,58/239,54/238,63/246,47/200,48/200,64/225,57/251,76/218,55/219
8,QS,4.0,2.0,4.0,5.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,6.0,3.0,6.0
9,OBP,0.339,0.313,0.335,0.318,0.3,0.317,0.382,0.336,0.372,0.337,0.303,0.35,0.3,0.336,0.314,0.322
9,R,30.0,25.0,38.0,28.0,31.0,24.0,23.0,37.0,42.0,34.0,25.0,26.0,18.0,28.0,18.0,29.0
9,HR,8.0,7.0,15.0,10.0,10.0,9.0,5.0,9.0,17.0,8.0,7.0,6.0,5.0,5.0,5.0,6.0
9,RBI,25.0,23.0,41.0,24.0,21.0,25.0,28.0,29.0,47.0,32.0,27.0,17.0,19.0,18.0,27.0,26.0
9,SB,4.0,3.0,8.0,4.0,2.0,4.0,10.0,3.0,5.0,9.0,2.0,11.0,4.0,6.0,5.0,3.0
9,K_B,52.0,62.0,50.0,47.0,49.0,53.0,41.0,50.0,50.0,41.0,33.0,46.0,48.0,63.0,41.0,52.0
9,TB,98.0,86.0,117.0,89.0,82.0,82.0,81.0,94.0,126.0,116.0,83.0,72.0,58.0,87.0,75.0,79.0
9,ERA,2.56,3.92,2.77,1.91,2.06,3.99,5.31,2.92,3.69,4.07,2.45,1.22,2.93,3.77,5.18,3.3
9,WHIP,1.21,1.2,1.05,0.92,0.85,1.14,1.53,1.07,1.26,1.16,1.15,0.78,1.35,1.43,1.34,1.47
9,L,5.0,2.0,1.0,1.0,2.0,3.0,6.0,3.0,5.0,5.0,3.0,1.0,1.0,4.0,3.0,5.0
9,SV,3.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,2.0,5.0,0.0,0.0
9,K_P,66.0,63.0,49.0,38.0,55.0,61.0,59.0,46.0,59.0,66.0,53.0,37.0,37.0,49.0,45.0,49.0
9,HLD,2.0,2.0,2.0,6.0,2.0,2.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
9,IP,56.1,66.2,48.2,42.1,56.2,56.1,57.2,52.1,61.0,66.1,47.2,37.0,46.0,57.1,64.1,46.1
9,H/AB,60/207,53/229,59/216,50/207,46/200,45/182,57/187,51/206,64/220,72/244,51/204,46/174,37/190,59/218,47/199,51/212
9,QS,4.0,3.0,4.0,3.0,6.0,2.0,3.0,4.0,6.0,6.0,3.0,4.0,4.0,3.0,3.0,2.0
10,OBP,0.335,0.314,0.316,0.348,0.319,0.306,0.345,0.31,0.329,0.359,0.302,0.309,0.353,0.351,0.321,0.322
10,R,23.0,23.0,34.0,31.0,29.0,24.0,32.0,31.0,32.0,36.0,24.0,22.0,32.0,38.0,20.0,37.0
10,HR,6.0,7.0,13.0,3.0,8.0,8.0,9.0,9.0,15.0,6.0,4.0,12.0,10.0,12.0,9.0,15.0
10,RBI,28.0,29.0,39.0,33.0,25.0,28.0,28.0,28.0,30.0,27.0,30.0,29.0,39.0,33.0,27.0,40.0
10,SB,6.0,6.0,6.0,4.0,5.0,5.0,7.0,4.0,2.0,8.0,5.0,5.0,6.0,4.0,3.0,1.0
10,K_B,45.0,64.0,48.0,51.0,48.0,48.0,46.0,53.0,63.0,56.0,51.0,63.0,45.0,59.0,50.0,42.0
10,TB,75.0,76.0,118.0,87.0,81.0,89.0,92.0,96.0,109.0,110.0,75.0,100.0,107.0,115.0,82.0,108.0
10,ERA,2.85,5.08,3.19,3.48,4.2,2.35,6.26,3.42,2.55,4.6,4.06,3.96,5.44,4.33,2.28,2.81
10,WHIP,1.16,1.35,0.94,1.18,1.18,0.89,1.63,1.1,0.98,1.45,1.37,1.2,1.73,1.17,1.11,1.18
10,L,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0,5.0,3.0,5.0,4.0,2.0,1.0
10,SV,2.0,5.0,5.0,2.0,5.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,7.0,1.0,0.0,0.0
10,K_P,53.0,65.0,53.0,39.0,50.0,47.0,40.0,54.0,37.0,84.0,58.0,46.0,44.0,70.0,54.0,44.0
10,HLD,3.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0
10,IP,53.2,62.0,48.0,51.2,49.1,53.2,41.2,50.0,53.0,88.0,57.2,50.0,51.1,68.2,51.1,41.2
10,H/AB,49/209,47/210,65/235,60/220,48/201,57/225,56/203,59/243,56/220,70/246,50/213,55/208,65/223,63/233,45/190,52/216
10,QS,5.0,5.0,5.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0
11,OBP,0.36,0.367,0.309,0.35,0.319,0.366,0.321,0.31,0.355,0.384,0.346,0.304,0.299,0.348,0.3,0.373
11,R,28.0,36.0,27.0,35.0,26.0,32.0,26.0,28.0,42.0,33.0,33.0,36.0,21.0,33.0,23.0,28.0
11,HR,9.0,8.0,4.0,14.0,10.0,6.0,6.0,8.0,13.0,8.0,10.0,10.0,5.0,8.0,6.0,10.0
11,RBI,24.0,37.0,17.0,41.0,31.0,36.0,18.0,30.0,31.0,32.0,30.0,31.0,19.0,40.0,24.0,33.0
11,SB,4.0,5.0,0.0,5.0,5.0,3.0,6.0,5.0,1.0,7.0,4.0,6.0,5.0,3.0,6.0,2.0
11,K_B,39.0,62.0,45.0,40.0,57.0,44.0,50.0,42.0,54.0,44.0,53.0,44.0,52.0,64.0,48.0,49.0
11,TB,94.0,99.0,68.0,122.0,82.0,95.0,92.0,92.0,117.0,96.0,96.0,90.0,70.0,105.0,70.0,100.0
11,ERA,6.07,5.23,2.45,5.48,3.5,2.42,3.38,5.35,4.4,2.0,3.91,3.41,3.44,4.09,3.0,1.91
11,WHIP,1.6,1.42,1.14,1.57,1.21,1.1,1.34,1.33,1.4,0.82,1.45,1.14,1.07,1.31,1.26,1.11
11,L,7.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,4.0,7.0,2.0,0.0
11,SV,1.0,5.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,5.0,0.0,1.0,1.0,5.0,1.0,1.0
11,K_P,44.0,68.0,42.0,40.0,69.0,56.0,61.0,34.0,45.0,58.0,46.0,34.0,52.0,66.0,40.0,50.0
11,HLD,2.0,3.0,0.0,5.0,1.0,3.0,0.0,1.0,1.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0
11,IP,56.1,72.1,58.2,42.2,64.1,52.0,56.0,35.1,45.0,45.0,48.1,37.0,52.1,70.1,42.0,42.1
11,H/AB,55/205,63/225,46/208,67/230,49/190,56/206,59/219,56/226,66/231,57/184,57/208,50/214,43/199,67/238,42/197,59/212
11,QS,3.0,5.0,6.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0
12,OBP,0.355,0.387,0.296,0.389,0.366,0.331,0.296,0.327,0.39,0.351,0.3,0.325,0.269,0.328,0.303,0.336
12,R,34.0,35.0,33.0,35.0,30.0,29.0,22.0,32.0,41.0,37.0,37.0,30.0,21.0,33.0,34.0,24.0
12,HR,14.0,6.0,12.0,15.0,12.0,11.0,4.0,10.0,10.0,9.0,8.0,10.0,5.0,14.0,10.0,7.0
12,RBI,30.0,39.0,37.0,45.0,27.0,32.0,16.0,26.0,45.0,27.0,22.0,26.0,22.0,34.0,21.0,33.0
12,SB,2.0,4.0,4.0,4.0,3.0,0.0,5.0,11.0,4.0,6.0,2.0,1.0,4.0,2.0,3.0,2.0
12,K_B,50.0,41.0,48.0,50.0,57.0,44.0,50.0,40.0,51.0,49.0,58.0,38.0,42.0,56.0,60.0,53.0
12,TB,118.0,87.0,98.0,133.0,108.0,96.0,69.0,91.0,108.0,99.0,90.0,91.0,78.0,119.0,90.0,92.0
