Week,Team,ERA,H/AB,HLD,HR,IP,K,K.1,L,OBP,QS,R,RBI,SB,SV,TB,WHIP
16,Cleveland Steamers,4.66,54/211,2.0,12.0,38.2,36.0,36.0,3.0,0.301,2.0,32.0,34.0,5.0,0.0,110.0,1.47
16,Colson Anthony Teel Jr.,5.45,54/216,4.0,7.0,74.1,51.0,73.0,6.0,0.296,3.0,23.0,30.0,4.0,0.0,92.0,1.12
16,Derty's Rolling Crew,5.73,54/190,2.0,13.0,44.0,39.0,46.0,4.0,0.38,1.0,31.0,30.0,3.0,3.0,106.0,1.39
16,My Team Snells Like Shit,3.57,48/212,1.0,10.0,45.1,49.0,45.0,3.0,0.31,2.0,30.0,27.0,7.0,4.0,89.0,1.35
16,North Shore Beefs,4.29,63/209,1.0,11.0,42.0,42.0,32.0,3.0,0.36,2.0,39.0,36.0,5.0,1.0,118.0,1.21
16,Put Up or Shut Up,2.12,65/232,0.0,8.0,51.0,59.0,46.0,1.0,0.349,4.0,34.0,39.0,6.0,1.0,108.0,1.08
16,Shmoulie,4.81,62/227,2.0,4.0,76.2,53.0,75.0,5.0,0.349,5.0,30.0,28.0,9.0,2.0,87.0,1.25
16,Skrey's SQUAD,4.58,56/226,3.0,10.0,59.0,49.0,60.0,3.0,0.34,3.0,30.0,30.0,2.0,4.0,99.0,1.2
16,Tardy Plumbers,2.81,65/222,4.0,8.0,48.0,45.0,57.0,4.0,0.38,2.0,37.0,38.0,1.0,0.0,107.0,1.17
16,The Bronx Boofers,1.37,41/207,3.0,10.0,59.1,65.0,61.0,4.0,0.274,4.0,27.0,24.0,6.0,1.0,80.0,0.88
16,The Murk Ma$ter,3.97,39/192,1.0,6.0,45.1,57.0,49.0,3.0,0.292,3.0,23.0,21.0,4.0,4.0,65.0,1.19
16,UNKle Jerik,2.66,45/171,5.0,2.0,47.1,48.0,46.0,2.0,0.345,5.0,19.0,12.0,0.0,1.0,58.0,1.1
16,vves11,3.76,47/174,0.0,12.0,38.1,46.0,34.0,2.0,0.328,2.0,27.0,22.0,3.0,3.0,92.0,1.2
16,wes11,2.77,53/202,2.0,10.0,39.0,45.0,42.0,5.0,0.363,2.0,35.0,34.0,5.0,0.0,101.0,1.08
17,Acuña Matata,3.07,55/224,3.0,10.0,58.2,57.0,57.0,1.0,0.331,4.0,33.0,30.0,6.0,1.0,91.0,1.16
17,Beasts of the East,3.97,65/233,3.0,10.0,56.2,48.0,53.0,1.0,0.368,2.0,45.0,25.0,8.0,2.0,114.0,1.27
17,Cleveland Steamers,5.91,52/199,3.0,5.0,32.0,53.0,28.0,2.0,0.326,1.0,20.0,24.0,4.0,0.0,81.0,1.5
17,Colson Anthony Teel Jr.,3.93,42/205,4.0,7.0,52.2,58.0,58.0,4.0,0.267,3.0,30.0,30.0,4.0,2.0,72.0,1.23
17,Derty's Rolling Crew,2.44,64/235,0.0,10.0,51.2,49.0,33.0,1.0,0.324,4.0,34.0,36.0,7.0,4.0,111.0,1.18
17,My Team Snells Like Shit,4.3,57/217,1.0,9.0,73.1,64.0,80.0,3.0,0.314,3.0,28.0,31.0,2.0,3.0,96.0,1.35
17,North Shore Beefs,1.7,54/178,1.0,4.0,37.0,39.0,40.0,2.0,0.385,3.0,25.0,24.0,0.0,0.0,81.0,1.0
17,Put Up or Shut Up,3.54,62/236,2.0,8.0,56.0,61.0,56.0,3.0,0.307,3.0,38.0,37.0,4.0,2.0,98.0,1.18
17,Shmoulie,5.17,51/238,0.0,10.0,69.2,63.0,68.0,9.0,0.272,2.0,37.0,37.0,0.0,3.0,91.0,1.33
17,Skrey's SQUAD,3.62,61/228,3.0,9.0,54.2,40.0,63.0,5.0,0.341,2.0,34.0,30.0,3.0,3.0,95.0,1.06
17,Tardy Plumbers,3.52,65/214,5.0,11.0,46.0,49.0,41.0,2.0,0.367,4.0,31.0,35.0,3.0,0.0,111.0,1.33
17,The Bronx Boofers,4.09,56/225,3.0,12.0,50.2,51.0,48.0,5.0,0.304,3.0,29.0,33.0,4.0,1.0,103.0,0.99
17,The Murk Ma$ter,3.7,44/197,0.0,7.0,56.0,57.0,53.0,4.0,0.297,3.0,28.0,26.0,6.0,4.0,79.0,1.27
17,UNKle Jerik,5.66,60/226,5.0,7.0,55.2,45.0,53.0,2.0,0.321,1.0,26.0,32.0,7.0,2.0,97.0,1.4
17,vves11,4.47,52/208,2.0,9.0,52.1,59.0,43.0,2.0,0.325,4.0,29.0,29.0,9.0,5.0,91.0,1.22
17,wes11,2.82,41/192,1.0,5.0,51.0,46.0,47.0,3.0,0.296,3.0,19.0,22.0,7.0,0.0,66.0,1.2
18,Acuña Matata,4.61,61/211,2.0,11.0,82.0,56.0,70.0,4.0,0.352,4.0,39.0,30.0,4.0,2.0,107.0,1.17
18,Beasts of the East,2.13,53/176,3.0,13.0,55.0,33.0,56.0,1.0,0.384,4.0,36.0,37.0,11.0,1.0,109.0,1.0
18,Cleveland Steamers,3.6,42/195,4.0,8.0,40.0,56.0,31.0,2.0,0.282,4.0,26.0,24.0,5.0,0.0,70.0,1.28
18,Colson Anthony Teel Jr.,5.73,39/186,3.0,5.0,48.2,43.0,43.0,6.0,0.279,2.0,18.0,12.0,2.0,2.0,63.0,1.75
18,Derty's Rolling Crew,4.28,50/223,1.0,10.0,54.2,40.0,44.0,2.0,0.289,3.0,22.0,28.0,5.0,4.0,88.0,1.35
18,My Team Snells Like Shit,5.21,51/221,1.0,12.0,67.1,57.0,71.0,7.0,0.304,3.0,34.0,34.0,3.0,2.0,100.0,1.4
18,North Shore Beefs,2.17,55/185,3.0,12.0,49.2,45.0,52.0,1.0,0.361,4.0,29.0,34.0,1.0,2.0,104.0,0.93
18,Put Up or Shut Up,2.87,49/214,6.0,6.0,69.0,61.0,71.0,3.0,0.327,4.0,29.0,29.0,5.0,4.0,76.0,0.93
18,Shmoulie,4.23,59/218,2.0,10.0,44.2,62.0,55.0,5.0,0.357,3.0,30.0,33.0,6.0,2.0,93.0,1.61
18,Skrey's SQUAD,2.89,47/219,2.0,9.0,46.2,54.0,54.0,3.0,0.268,4.0,29.0,27.0,4.0,2.0,84.0,0.99
18,Tardy Plumbers,2.43,64/189,5.0,12.0,33.1,46.0,35.0,1.0,0.392,3.0,38.0,37.0,4.0,1.0,115.0,1.02
18,The Bronx Boofers,4.9,53/217,2.0,6.0,68.0,68.0,67.0,3.0,0.327,3.0,31.0,38.0,5.0,2.0,87.0,1.25
18,The Murk Ma$ter,4.47,45/196,2.0,10.0,50.1,48.0,47.0,4.0,0.293,2.0,23.0,29.0,1.0,1.0,83.0,1.33
18,UNKle Jerik,8.38,45/181,2.0,3.0,38.2,33.0,51.0,7.0,0.335,1.0,23.0,11.0,1.0,3.0,63.0,1.86
18,vves11,3.95,41/202,1.0,10.0,68.1,42.0,58.0,2.0,0.297,3.0,26.0,25.0,4.0,3.0,73.0,1.26
18,wes11,2.77,58/213,4.0,8.0,48.2,38.0,42.0,2.0,0.336,1.0,31.0,30.0,9.0,0.0,92.0,1.23
19,Acuña Matata,5.55,39/111,3.0,12.0,58.1,26.0,68.0,6.0,0.421,1.0,23.0,31.0,3.0,2.0,82.0,1.44
19,Beasts of the East,3.06,60/234,0.0,5.0,61.2,50.0,66.0,3.0,0.34,4.0,25.0,28.0,10.0,3.0,88.0,1.14
19,Cleveland Steamers,1.96,46/204,5.0,8.0,36.2,52.0,24.0,1.0,0.307,4.0,29.0,29.0,4.0,1.0,82.0,1.06
19,Colson Anthony Teel Jr.,2.5,56/210,4.0,8.0,54.0,55.0,44.0,2.0,0.34,4.0,42.0,31.0,8.0,2.0,94.0,0.94
19,Derty's Rolling Crew,3.86,53/206,0.0,15.0,49.0,37.0,48.0,4.0,0.319,2.0,38.0,42.0,1.0,4.0,109.0,1.31
19,My Team Snells Like Shit,3.93,61/197,3.0,11.0,52.2,29.0,49.0,1.0,0.356,4.0,28.0,35.0,7.0,3.0,111.0,1.12
19,North Shore Beefs,5.4,52/189,1.0,8.0,40.0,46.0,37.0,3.0,0.358,2.0,28.0,28.0,3.0,1.0,84.0,1.38
19,Put Up or Shut Up,5.37,53/227,1.0,6.0,65.1,63.0,65.0,9.0,0.337,3.0,30.0,25.0,5.0,2.0,82.0,1.41
19,Shmoulie,2.44,49/225,3.0,5.0,44.1,62.0,43.0,1.0,0.304,4.0,28.0,28.0,5.0,4.0,80.0,0.86
19,Skrey's SQUAD,2.95,53/219,2.0,12.0,39.2,49.0,35.0,2.0,0.296,2.0,35.0,24.0,9.0,2.0,99.0,0.98
19,Tardy Plumbers,3.12,25/95,4.0,4.0,43.1,25.0,48.0,2.0,0.333,2.0,8.0,13.0,0.0,1.0,41.0,0.78
19,The Bronx Boofers,4.04,65/237,2.0,11.0,64.2,55.0,57.0,3.0,0.322,5.0,32.0,40.0,3.0,1.0,112.0,1.16
19,The Murk Ma$ter,2.42,48/213,0.0,11.0,48.1,56.0,41.0,4.0,0.316,4.0,31.0,30.0,1.0,1.0,84.0,1.01
19,UNKle Jerik,6.96,49/193,2.0,9.0,32.1,42.0,25.0,3.0,0.329,2.0,29.0,30.0,13.0,0.0,88.0,1.52
19,vves11,3.23,53/234,0.0,8.0,53.0,49.0,51.0,1.0,0.281,2.0,29.0,28.0,7.0,3.0,90.0,1.19
19,wes11,2.53,48/202,4.0,9.0,53.1,48.0,50.0,1.0,0.323,2.0,34.0,27.0,6.0,2.0,86.0,1.13
20,Acuña Matata,6.3,54/218,2.0,9.0,50.0,47.0,48.0,6.0,0.341,2.0,35.0,31.0,4.0,1.0,93.0,1.64
20,Beasts of the East,4.88,64/251,4.0,8.0,79.1,44.0,85.0,6.0,0.344,5.0,35.0,25.0,9.0,3.0,109.0,1.26
20,Cleveland Steamers,3.67,48/205,3.0,9.0,41.2,54.0,40.0,3.0,0.302,2.0,24.0,35.0,1.0,3.0,83.0,1.25
20,Colson Anthony Teel Jr.,3.81,61/205,5.0,8.0,56.2,33.0,54.0,3.0,0.386,5.0,42.0,32.0,3.0,1.0,102.0,1.08
20,Derty's Rolling Crew,4.39,43/201,1.0,14.0,55.1,54.0,50.0,6.0,0.246,3.0,26.0,34.0,2.0,3.0,94.0,1.3
20,My Team Snells Like Shit,3.08,46/221,1.0,7.0,76.0,53.0,81.0,2.0,0.279,7.0,21.0,18.0,4.0,4.0,76.0,1.07
20,North Shore Beefs,5.03,54/198,2.0,7.0,39.1,44.0,37.0,1.0,0.386,1.0,30.0,21.0,4.0,1.0,90.0,1.5
20,Put Up or Shut Up,4.46,66/221,3.0,12.0,74.2,44.0,68.0,1.0,0.364,3.0,38.0,43.0,8.0,5.0,117.0,1.29
20,Shmoulie,2.61,46/219,2.0,6.0,62.0,46.0,62.0,3.0,0.32,5.0,33.0,22.0,9.0,1.0,76.0,1.05
20,Skrey's SQUAD,2.05,46/208,2.0,4.0,57.0,44.0,69.0,2.0,0.299,6.0,22.0,22.0,4.0,2.0,69.0,0.81
20,Tardy Plumbers,6.27,55/199,4.0,10.0,60.1,49.0,52.0,5.0,0.338,3.0,30.0,29.0,4.0,1.0,95.0,1.57
20,The Bronx Boofers,2.48,59/212,2.0,8.0,65.1,62.0,83.0,2.0,0.338,5.0,27.0,38.0,1.0,2.0,105.0,0.86
20,The Murk Ma$ter,3.02,53/212,1.0,10.0,50.2,63.0,53.0,2.0,0.318,2.0,24.0,22.0,3.0,2.0,90.0,1.13
20,UNKle Jerik,5.53,54/161,1.0,14.0,42.1,36.0,54.0,5.0,0.407,4.0,34.0,42.0,8.0,0.0,110.0,1.35
20,vves11,4.67,50/213,0.0,12.0,52.0,39.0,49.0,3.0,0.31,4.0,33.0,30.0,3.0,4.0,97.0,1.33
20,wes11,2.27,47/210,2.0,10.0,43.2,52.0,44.0,2.0,0.309,4.0,34.0,30.0,4.0,1.0,84.0,1.21
21,Acuña Matata,3.11,52/207,4.0,9.0,66.2,45.0,78.0,1.0,0.336,5.0,36.0,26.0,6.0,2.0,86.0,1.04
21,Beasts of the East,4.48,70/244,0.0,13.0,60.1,57.0,62.0,3.0,0.333,4.0,34.0,39.0,6.0,3.0,127.0,1.36
21,Cleveland Steamers,4.71,44/206,1.0,11.0,57.1,55.0,50.0,5.0,0.303,4.0,31.0,26.0,5.0,0.0,85.0,1.45
21,Colson Anthony Teel Jr.,4.93,61/226,3.0,11.0,45.2,57.0,50.0,6.0,0.317,2.0,27.0,27.0,2.0,0.0,101.0,1.25
21,Derty's Rolling Crew,3.0,49/190,0.0,8.0,57.0,42.0,50.0,3.0,0.346,4.0,24.0,34.0,1.0,6.0,87.0,1.02
21,My Team Snells Like Shit,4.7,46/194,2.0,4.0,53.2,39.0,65.0,4.0,0.32,3.0,27.0,18.0,5.0,3.0,65.0,1.3
21,North Shore Beefs,3.26,47/171,2.0,4.0,47.0,49.0,44.0,2.0,0.367,5.0,27.0,22.0,2.0,0.0,73.0,1.04
21,Put Up or Shut Up,1.78,66/239,1.0,9.0,65.2,63.0,65.0,1.0,0.342,5.0,40.0,42.0,3.0,4.0,120.0,1.04
21,Shmoulie,5.19,55/232,0.0,7.0,59.0,59.0,54.0,5.0,0.308,3.0,24.0,25.0,5.0,4.0,87.0,1.22
21,Skrey's SQUAD,3.2,53/202,3.0,14.0,50.2,36.0,59.0,4.0,0.338,3.0,44.0,34.0,5.0,1.0,108.0,1.07
21,Tardy Plumbers,3.93,43/210,4.0,7.0,55.0,58.0,62.0,3.0,0.277,2.0,26.0,37.0,0.0,2.0,71.0,1.31
21,The Bronx Boofers,3.07,59/211,4.0,10.0,41.0,59.0,47.0,3.0,0.37,2.0,34.0,29.0,4.0,2.0,100.0,1.24
21,The Murk Ma$ter,2.91,49/200,2.0,15.0,68.0,52.0,66.0,2.0,0.356,3.0,34.0,33.0,5.0,1.0,103.0,1.19
21,UNKle Jerik,2.83,52/200,3.0,9.0,60.1,47.0,60.0,2.0,0.357,6.0,40.0,28.0,8.0,1.0,90.0,1.04
21,vves11,5.67,60/218,0.0,11.0,54.0,54.0,51.0,3.0,0.346,3.0,32.0,43.0,3.0,1.0,103.0,1.33
21,wes11,4.08,57/202,2.0,11.0,39.2,45.0,32.0,5.0,0.348,2.0,33.0,32.0,10.0,1.0,97.0,1.29
22,Acuña Matata,4.31,60/216,4.0,18.0,62.2,46.0,69.0,5.0,0.358,3.0,35.0,42.0,4.0,0.0,129.0,1.28
22,Derty's Rolling Crew,7.07,41/180,0.0,5.0,35.2,40.0,28.0,4.0,0.298,1.0,25.0,28.0,3.0,3.0,68.0,1.77
22,My Team Snells Like Shit,5.21,58/210,1.0,10.0,57.0,45.0,45.0,6.0,0.352,5.0,29.0,24.0,5.0,0.0,99.0,1.4
22,Shmoulie,3.28,33/177,0.0,6.0,24.2,48.0,21.0,2.0,0.268,2.0,25.0,21.0,4.0,3.0,57.0,1.09
22,Skrey's SQUAD,4.1,56/231,2.0,6.0,98.2,53.0,97.0,5.0,0.305,4.0,26.0,30.0,7.0,4.0,100.0,1.38
22,Tardy Plumbers,6.04,63/196,2.0,11.0,56.2,35.0,64.0,3.0,0.403,2.0,37.0,38.0,6.0,2.0,111.0,1.54
22,UNKle Jerik,5.11,37/154,0.0,6.0,24.2,45.0,23.0,2.0,0.29,1.0,22.0,19.0,4.0,1.0,62.0,1.34
22,vves11,5.87,46/197,0.0,13.0,23.0,51.0,21.0,2.0,0.32,1.0,32.0,37.0,6.0,1.0,91.0,1.22
23,Acuña Matata,2.72,60/213,3.0,8.0,79.1,51.0,94.0,5.0,0.342,5.0,33.0,26.0,7.0,0.0,100.0,0.97
23,Beasts of the East,3.13,63/233,4.0,6.0,72.0,51.0,79.0,3.0,0.338,4.0,41.0,33.0,12.0,4.0,91.0,0.9
23,Derty's Rolling Crew,1.59,38/179,0.0,5.0,22.2,40.0,19.0,1.0,0.259,1.0,19.0,19.0,3.0,2.0,64.0,0.84
23,My Team Snells Like Shit,1.64,57/202,3.0,11.0,22.0,42.0,29.0,2.0,0.373,2.0,37.0,24.0,5.0,4.0,99.0,0.82
23,Put Up or Shut Up,3.44,39/177,1.0,9.0,18.1,56.0,23.0,0.0,0.265,1.0,22.0,23.0,2.0,0.0,71.0,0.98
23,Shmoulie,3.74,50/182,0.0,12.0,21.2,38.0,20.0,1.0,0.36,1.0,28.0,26.0,4.0,1.0,97.0,0.97
23,Skrey's SQUAD,4.58,57/238,0.0,10.0,78.2,51.0,81.0,5.0,0.318,5.0,29.0,32.0,3.0,3.0,98.0,1.33
23,Tardy Plumbers,4.56,47/152,1.0,6.0,23.2,32.0,32.0,1.0,0.391,1.0,20.0,20.0,1.0,4.0,77.0,1.23
23,The Bronx Boofers,4.06,47/221,0.0,3.0,108.2,56.0,103.0,7.0,0.296,5.0,23.0,21.0,3.0,3.0,73.0,0.96
23,The Murk Ma$ter,3.2,37/140,3.0,9.0,56.1,45.0,55.0,5.0,0.335,5.0,24.0,23.0,3.0,4.0,70.0,1.05
23,UNKle Jerik,4.01,32/154,2.0,8.0,24.2,49.0,32.0,1.0,0.291,2.0,19.0,22.0,6.0,2.0,65.0,1.34
23,vves11,9.49,58/216,0.0,6.0,12.1,52.0,13.0,1.0,0.352,0.0,30.0,28.0,5.0,1.0,91.0,2.11
24,Acuña Matata,4.66,75/246,3.0,10.0,77.1,57.0,85.0,4.0,0.389,3.0,38.0,30.0,6.0,1.0,121.0,1.18
24,Beasts of the East,4.15,77/253,5.0,9.0,99.2,43.0,94.0,7.0,0.358,6.0,38.0,33.0,8.0,2.0,120.0,1.25
24,Derty's Rolling Crew,4.29,50/199,0.0,5.0,21.0,45.0,18.0,0.0,0.312,0.0,29.0,21.0,5.0,4.0,75.0,1.48
24,Put Up or Shut Up,1.77,34/165,3.0,5.0,20.1,56.0,25.0,1.0,0.275,0.0,18.0,22.0,2.0,0.0,53.0,1.03
24,Skrey's SQUAD,4.98,43/197,1.0,5.0,34.1,41.0,25.0,2.0,0.298,2.0,31.0,24.0,9.0,1.0,71.0,1.22
24,The Bronx Boofers,3.94,60/185,0.0,7.0,29.2,51.0,34.0,2.0,0.413,1.0,30.0,23.0,4.0,3.0,99.0,1.52
24,The Murk Ma$ter,2.74,36/152,0.0,8.0,42.2,43.0,37.0,4.0,0.322,2.0,25.0,24.0,1.0,4.0,64.0,0.98
24,vves11,1.04,43/217,0.0,6.0,26.0,53.0,41.0,0.0,0.265,0.0,25.0,25.0,2.0,2.0,71.0,0.73
